Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: alu reference characterization

Doing analysis at TEMP = -20.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xalu.xbsub5.n1                            1.98
xalu.xbsub5.x1.n                             0
xalu.xbsub5.n2                            1.98
xalu.xbsub5.x2.n                             0
xalu.bs5                           3.10015e-09
xalu.xbsub5.x3.n                   1.55008e-09
xalu.xfa5.x0.n0                           1.98
xalu.xfa5.x0.x0.n                            0
xalu.xfa5.x0.n1                           1.98
xalu.xfa5.x0.x1.n                            0
xalu.xfa5.x0.n2                           1.98
xalu.xfa5.x0.x2.n                            0
xalu.xfa5.p                        3.10015e-09
xalu.xfa5.x0.x3.n                  1.55008e-09
xalu.xfa5.x1.n0                           1.98
xalu.xfa5.x1.x0.n                            0
xalu.xfa5.x1.n1                           1.98
xalu.xfa5.x1.x1.n                            0
xalu.xfa5.x1.n2                           1.98
xalu.xfa5.x1.x2.n                            0
xalu.s5                            3.10015e-09
xalu.xfa5.x1.x3.n                  1.55008e-09
xalu.xfa5.x2.n                            1.98
xalu.xfa5.x2.xn.n                            0
xalu.xfa5.g                        1.55008e-09
xalu.xfa5.x3.n                            1.98
xalu.xfa5.x3.xn.n                            0
xalu.xfa5.h                        1.55008e-09
xalu.xfa5.x4.xn.n                         1.98
xalu.xfa5.x4.n                            1.98
xalu.c6                            1.55008e-09
xalu.xand5.n                              1.98
xalu.xand5.xn.n                              0
xalu.and5                          1.55008e-09
xalu.xor5.xn.n                            1.98
xalu.xor5.n                               1.98
xalu.or5                           1.55008e-09
xalu.xxor5.n0                             1.98
xalu.xxor5.x0.n                              0
xalu.xxor5.n1                             1.98
xalu.xxor5.x1.n                              0
xalu.xxor5.n2                             1.98
xalu.xxor5.x2.n                              0
xalu.xor5                          3.10015e-09
xalu.xxor5.x3.n                    1.55008e-09
xalu.not5                                 1.98
xalu.xlogic5.sn                           1.98
xalu.xlogic5.n0                           1.98
xalu.xlogic5.x0.n                            0
xalu.xlogic5.n1                           1.98
xalu.xlogic5.x1.n                            0
xalu.l5                            3.10015e-09
xalu.xlogic5.x2.n                  1.55008e-09
xalu.xunary5.sn                           1.98
xalu.xunary5.n0                           1.98
xalu.xunary5.x0.n                            0
xalu.xunary5.n1                           1.98
xalu.xunary5.x1.n                      1.48404
xalu.u5                            3.10015e-09
xalu.xunary5.x2.n                  1.55008e-09
xalu.xshift5.sn                           1.98
xalu.xshift5.n0                           1.98
xalu.xshift5.x0.n                            0
xalu.xshift5.n1                           1.98
a6                                           0
xalu.xshift5.x1.n                            0
xalu.h5                            3.10015e-09
xalu.xshift5.x2.n                  1.55008e-09
xalu.xlo5.sn                              1.98
xalu.xlo5.n0                              1.98
xalu.xlo5.x0.n                               0
xalu.xlo5.n1                              1.98
xalu.xlo5.x1.n                               0
xalu.lo5                           3.10015e-09
xalu.xlo5.x2.n                     1.55008e-09
xalu.xhi5.sn                              1.98
xalu.xhi5.n0                              1.98
xalu.xhi5.x0.n                               0
xalu.xhi5.n1                              1.98
xalu.xhi5.x1.n                               0
xalu.hi5                           3.10015e-09
xalu.xhi5.x2.n                     1.55008e-09
xalu.xout5.sn                             1.98
xalu.xout5.n0                             1.98
xalu.xout5.x0.n                              0
xalu.xout5.n1                             1.98
xalu.xout5.x1.n                              0
y5                                 3.10015e-09
xalu.xout5.x2.n                    1.55008e-09
xalu.xbsub6.n0                            1.98
b6                                           0
xalu.xbsub6.x0.n                             0
xalu.xbsub6.n1                            1.98
xalu.xbsub6.x1.n                             0
xalu.xbsub6.n2                            1.98
xalu.xbsub6.x2.n                             0
xalu.bs6                           3.10015e-09
xalu.xbsub6.x3.n                   1.55008e-09
xalu.xfa6.x0.n0                           1.98
xalu.xfa6.x0.x0.n                            0
xalu.xfa6.x0.n1                           1.98
xalu.xfa6.x0.x1.n                            0
xalu.xfa6.x0.n2                           1.98
xalu.xfa6.x0.x2.n                            0
xalu.xfa6.p                        3.10015e-09
xalu.xfa6.x0.x3.n                  1.55008e-09
xalu.xfa6.x1.n0                           1.98
xalu.xfa6.x1.x0.n                            0
xalu.xfa6.x1.n1                           1.98
xalu.xfa6.x1.x1.n                            0
xalu.xfa6.x1.n2                           1.98
xalu.xfa6.x1.x2.n                            0
xalu.s6                            3.10015e-09
xalu.xfa6.x1.x3.n                  1.55008e-09
xalu.xfa6.x2.n                            1.98
xalu.xfa6.x2.xn.n                            0
xalu.xfa6.g                        1.55008e-09
xalu.xfa6.x3.n                            1.98
xalu.xfa6.x3.xn.n                            0
xalu.xfa6.h                        1.55008e-09
xalu.xfa6.x4.xn.n                         1.98
