Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: alu reference characterization

Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xalu.l1                            3.98205e-09
xalu.xlogic1.x2.n                  1.99102e-09
xalu.xunary1.sn                            1.8
xalu.xunary1.n0                    3.98205e-09
xalu.xunary1.x0.n                  1.99102e-09
xalu.xunary1.n1                            1.8
xalu.xunary1.x1.n                            0
xalu.u1                                    1.8
xalu.xunary1.x2.n                            0
xalu.xshift1.sn                            1.8
xalu.xshift1.n0                    3.98205e-09
xalu.xshift1.x0.n                  1.99102e-09
xalu.xshift1.n1                            1.8
a2                                         1.8
xalu.xshift1.x1.n                      1.34796
xalu.h1                                    1.8
xalu.xshift1.x2.n                            0
xalu.xlo1.sn                               1.8
xalu.xlo1.n0                       3.98205e-09
xalu.xlo1.x0.n                     1.99102e-09
xalu.xlo1.n1                               1.8
xalu.xlo1.x1.n                               0
xalu.lo1                                   1.8
xalu.xlo1.x2.n                               0
xalu.xhi1.sn                               1.8
xalu.xhi1.n0                       3.98205e-09
xalu.xhi1.x0.n                     1.99102e-09
xalu.xhi1.n1                               1.8
xalu.xhi1.x1.n                         1.34796
xalu.hi1                                   1.8
xalu.xhi1.x2.n                               0
xalu.xout1.sn                              1.8
xalu.xout1.n0                      3.98205e-09
xalu.xout1.x0.n                    1.99102e-09
xalu.xout1.n1                              1.8
xalu.xout1.x1.n                        1.34796
y1                                         1.8
xalu.xout1.x2.n                              0
xalu.xbsub2.n0                             1.8
b2                                           0
xalu.xbsub2.x0.n                             0
xalu.xbsub2.n1                             1.8
xalu.xbsub2.x1.n                             0
xalu.xbsub2.n2                             1.8
xalu.xbsub2.x2.n                             0
xalu.bs2                           3.98205e-09
xalu.xbsub2.x3.n                   1.99102e-09
xalu.xfa2.x0.n0                            1.8
xalu.xfa2.x0.x0.n                      1.34796
xalu.xfa2.x0.n1                    3.98205e-09
xalu.xfa2.x0.x1.n                  1.99102e-09
xalu.xfa2.x0.n2                            1.8
xalu.xfa2.x0.x2.n                            0
xalu.xfa2.p                                1.8
xalu.xfa2.x0.x3.n                            0
xalu.xfa2.x1.n0                            1.8
xalu.xfa2.x1.x0.n                      1.34796
xalu.xfa2.x1.n1                    3.98205e-09
xalu.xfa2.x1.x1.n                  1.99102e-09
xalu.xfa2.x1.n2                            1.8
xalu.xfa2.x1.x2.n                            0
xalu.s2                                    1.8
xalu.xfa2.x1.x3.n                            0
xalu.xfa2.x2.n                             1.8
xalu.xfa2.x2.xn.n                      1.34796
xalu.xfa2.g                        1.99102e-09
xalu.xfa2.x3.n                             1.8
xalu.xfa2.x3.xn.n                      1.34796
xalu.xfa2.h                        1.99102e-09
xalu.xfa2.x4.xn.n                          1.8
xalu.xfa2.x4.n                             1.8
xalu.c3                            1.99102e-09
xalu.xand2.n                               1.8
xalu.xand2.xn.n                        1.34796
xalu.and2                          1.99102e-09
xalu.xor2.xn.n                         0.45257
xalu.xor2.n                        4.97593e-09
xalu.or2                                   1.8
xalu.xxor2.n0                              1.8
xalu.xxor2.x0.n                        1.34796
xalu.xxor2.n1                      3.98205e-09
xalu.xxor2.x1.n                    1.99102e-09
xalu.xxor2.n2                              1.8
xalu.xxor2.x2.n                              0
xalu.xor2                                  1.8
xalu.xxor2.x3.n                              0
xalu.not2                          1.99102e-09
xalu.xlogic2.sn                            1.8
xalu.xlogic2.n0                            1.8
xalu.xlogic2.x0.n                            0
xalu.xlogic2.n1                            1.8
xalu.xlogic2.x1.n                      1.34796
xalu.l2                            3.98205e-09
xalu.xlogic2.x2.n                  1.99102e-09
xalu.xunary2.sn                            1.8
xalu.xunary2.n0                    3.98205e-09
xalu.xunary2.x0.n                  1.99102e-09
xalu.xunary2.n1                            1.8
xalu.xunary2.x1.n                            0
xalu.u2                                    1.8
xalu.xunary2.x2.n                            0
xalu.xshift2.sn                            1.8
xalu.xshift2.n0                    3.98205e-09
xalu.xshift2.x0.n                  1.99102e-09
xalu.xshift2.n1                            1.8
a3                                         1.8
xalu.xshift2.x1.n                      1.34796
xalu.h2                                    1.8
xalu.xshift2.x2.n                            0
xalu.xlo2.sn                               1.8
xalu.xlo2.n0                       3.98205e-09
xalu.xlo2.x0.n                     1.99102e-09
xalu.xlo2.n1                               1.8
xalu.xlo2.x1.n                               0
xalu.lo2                                   1.8
xalu.xlo2.x2.n                               0
xalu.xhi2.sn                               1.8
xalu.xhi2.n0                       3.98205e-09
xalu.xhi2.x0.n                     1.99102e-09
xalu.xhi2.n1                               1.8
xalu.xhi2.x1.n                         1.34796
xalu.hi2                                   1.8
xalu.xhi2.x2.n                               0
xalu.xout2.sn                              1.8
xalu.xout2.n0                      3.98205e-09
xalu.xout2.x0.n                    1.99102e-09
xalu.xout2.n1                              1.8
xalu.xout2.x1.n                        1.34796
y2                                         1.8
xalu.xout2.x2.n                              0
xalu.xbsub3.n0                             1.8
b3                                           0
xalu.xbsub3.x0.n                             0
xalu.xbsub3.n1                             1.8
xalu.xbsub3.x1.n                             0
xalu.xbsub3.n2                             1.8
xalu.xbsub3.x2.n                             0
xalu.bs3                           3.98205e-09
xalu.xbsub3.x3.n                   1.99102e-09
xalu.xfa3.x0.n0                            1.8
xalu.xfa3.x0.x0.n                      1.34796
xalu.xfa3.x0.n1                    3.98205e-09
xalu.xfa3.x0.x1.n                  1.99102e-09
xalu.xfa3.x0.n2                            1.8
xalu.xfa3.x0.x2.n                            0
xalu.xfa3.p                                1.8
xalu.xfa3.x0.x3.n                            0
xalu.xfa3.x1.n0                            1.8
xalu.xfa3.x1.x0.n                      1.34796
xalu.xfa3.x1.n1                    3.98205e-09
xalu.xfa3.x1.x1.n                  1.99102e-09
xalu.xfa3.x1.n2                            1.8
xalu.xfa3.x1.x2.n                            0
xalu.s3                                    1.8
xalu.xfa3.x1.x3.n                            0
xalu.xfa3.x2.n                             1.8
xalu.xfa3.x2.xn.n                      1.34796
xalu.xfa3.g                        1.99102e-09
xalu.xfa3.x3.n                             1.8
xalu.xfa3.x3.xn.n                      1.34796
xalu.xfa3.h                        1.99102e-09
xalu.xfa3.x4.xn.n                          1.8
xalu.xfa3.x4.n                             1.8
xalu.c4                            1.99102e-09
xalu.xand3.n                               1.8
xalu.xand3.xn.n                        1.34796
xalu.and3                          1.99102e-09
xalu.xor3.xn.n                         0.45257
xalu.xor3.n                        4.97593e-09
xalu.or3                                   1.8
xalu.xxor3.n0                              1.8
xalu.xxor3.x0.n                        1.34796
xalu.xxor3.n1                      3.98205e-09
xalu.xxor3.x1.n                    1.99102e-09
xalu.xxor3.n2                              1.8
xalu.xxor3.x2.n                              0
xalu.xor3                                  1.8
xalu.xxor3.x3.n                              0
xalu.not3                          1.99102e-09
xalu.xlogic3.sn                            1.8
xalu.xlogic3.n0                            1.8
xalu.xlogic3.x0.n                            0
xalu.xlogic3.n1                            1.8
xalu.xlogic3.x1.n                      1.34796
xalu.l3                            3.98205e-09
xalu.xlogic3.x2.n                  1.99102e-09
xalu.xunary3.sn                            1.8
xalu.xunary3.n0                    3.98205e-09
xalu.xunary3.x0.n                  1.99102e-09
xalu.xunary3.n1                            1.8
xalu.xunary3.x1.n                            0
xalu.u3                                    1.8
xalu.xunary3.x2.n                            0
xalu.xshift3.sn                            1.8
xalu.xshift3.n0                    3.98205e-09
xalu.xshift3.x0.n                  1.99102e-09
xalu.xshift3.n1                            1.8
a4                                         1.8
xalu.xshift3.x1.n                      1.34796
xalu.h3                                    1.8
xalu.xshift3.x2.n                            0
xalu.xlo3.sn                               1.8
xalu.xlo3.n0                       3.98205e-09
xalu.xlo3.x0.n                     1.99102e-09
xalu.xlo3.n1                               1.8
xalu.xlo3.x1.n                               0
xalu.lo3                                   1.8
xalu.xlo3.x2.n                               0
xalu.xhi3.sn                               1.8
xalu.xhi3.n0                       3.98205e-09
xalu.xhi3.x0.n                     1.99102e-09
xalu.xhi3.n1                               1.8
xalu.xhi3.x1.n                         1.34796
xalu.hi3                                   1.8
xalu.xhi3.x2.n                               0
xalu.xout3.sn                              1.8
xalu.xout3.n0                      3.98205e-09
xalu.xout3.x0.n                    1.99102e-09
xalu.xout3.n1                              1.8
xalu.xout3.x1.n                        1.34796
y3                                         1.8
xalu.xout3.x2.n                              0
xalu.xbsub4.n0                             1.8
b4                                           0
xalu.xbsub4.x0.n                             0
xalu.xbsub4.n1                             1.8
xalu.xbsub4.x1.n                             0
xalu.xbsub4.n2                             1.8
xalu.xbsub4.x2.n                             0
xalu.bs4                           3.98205e-09
xalu.xbsub4.x3.n                   1.99102e-09
xalu.xfa4.x0.n0                            1.8
xalu.xfa4.x0.x0.n                      1.34796
xalu.xfa4.x0.n1                    3.98205e-09
xalu.xfa4.x0.x1.n                  1.99102e-09
xalu.xfa4.x0.n2                            1.8
xalu.xfa4.x0.x2.n                            0
xalu.xfa4.p                                1.8
xalu.xfa4.x0.x3.n                            0
xalu.xfa4.x1.n0                            1.8
xalu.xfa4.x1.x0.n                      1.34796
xalu.xfa4.x1.n1                    3.98205e-09
xalu.xfa4.x1.x1.n                  1.99102e-09
xalu.xfa4.x1.n2                            1.8
xalu.xfa4.x1.x2.n                            0
xalu.s4                                    1.8
xalu.xfa4.x1.x3.n                            0
xalu.xfa4.x2.n                             1.8
xalu.xfa4.x2.xn.n                      1.34796
xalu.xfa4.g                        1.99102e-09
xalu.xfa4.x3.n                             1.8
xalu.xfa4.x3.xn.n                      1.34796
xalu.xfa4.h                        1.99102e-09
xalu.xfa4.x4.xn.n                          1.8
xalu.xfa4.x4.n                             1.8
xalu.c5                            1.99102e-09
xalu.xand4.n                               1.8
xalu.xand4.xn.n                        1.34796
xalu.and4                          1.99102e-09
xalu.xor4.xn.n                         0.45257
xalu.xor4.n                        4.97593e-09
xalu.or4                                   1.8
xalu.xxor4.n0                              1.8
xalu.xxor4.x0.n                        1.34796
xalu.xxor4.n1                      3.98205e-09
xalu.xxor4.x1.n                    1.99102e-09
xalu.xxor4.n2                              1.8
xalu.xxor4.x2.n                              0
xalu.xor4                                  1.8
xalu.xxor4.x3.n                              0
xalu.not4                          1.99102e-09
xalu.xlogic4.sn                            1.8
xalu.xlogic4.n0                            1.8
xalu.xlogic4.x0.n                            0
xalu.xlogic4.n1                            1.8
xalu.xlogic4.x1.n                      1.34796
xalu.l4                            3.98205e-09
xalu.xlogic4.x2.n                  1.99102e-09
xalu.xunary4.sn                            1.8
xalu.xunary4.n0                    3.98205e-09
xalu.xunary4.x0.n                  1.99102e-09
xalu.xunary4.n1                            1.8
